number,source_pdf_page,printed_page,note_tex,preceding_text
428,319,305,章首提纲 Le métatermes 应为 Les métatermes；正文对应小标题已用复数 Les。,"tique
\begin{enumerate}[label=\textcircled{\scriptsize\arabic*}]
\item Présentation
\item Éléments constitutifs\par 1. Les termes\par 2. Le métatermes"
429,320,306,原文 des signification 的数配合有误，应为 des significations。,ntellectuelles du langage}) puis présentée dans son \textit{Essai de sémantique} paru en 1897. Dire que la sémantique est la science des signification
430,320,306,1751 为《百科全书》第一卷刊年，不足以证明后文所引 « sens » 条目亦于该年刊行；且“首次区分”须另有历史文献依据。条目卷次、作者归属及刊年尚待核实，暂不据本句断言为首创。,"tion entre sens et signification apparaît pour la première fois dans la première édition de l’\textit{Encyclopédie} de Diderot et d’Alembert, en 1751."
431,320,306,规范拼写须以连字符连接肯定命令式后的两个代词，即 Donne-le-moi。此处按底本保留空格。,"e par sa combinaison avec les autres qui constituent la phrase ».
\end{itemize}
Dans cette optique, on peut considérer que l’énoncé : « Donne-le moi »"
432,322,308,原文 et été 缺少助动词，依句法应为 et a été。, un organisme soumis aux lois de l’évolution et bannir de la linguistique l’esprit et la volonté. Bréal s’est opposé à cela et été l’ennemi implacable
433,323,309,此处“历时研究是错误”的概括过强。上述引文批评的是以词源替代词在当下语境中的意义，并不能推出历时研究本身错误。应区分研究问题：考察现时意义不能仅凭词源，研究意义演变仍可采用历时方法。,"es significations}. Paris, Hachette, 1897, édition de 1924, 287p.}. Ici encore, la parenté avec la linguistique synchronique de Saussure est évidente."
434,324,310,原文 ne l’emploie dans un même type d’analyse 缺少通常的否定成分；据“各家使用方式不同”的上下文，拟校为 ne l’emploie pas dans un même type d’analyse。," linguistes mais aussi des sémioticiens : le problème, c’est que chacun la définit de manière différente, et ne l’emploie dans un même type d’analyse."
435,324,310,原文 1862 应为 1662；此处所叙为 Port-Royal《逻辑》初刊，而非十九世纪重印本。参见本书第三章及既有书目依据\ecite{17}。,"instrument d’analyse des textes.

\subsubsection*{\textcircled{\scriptsize 1} Chez Port Royal : les idées accessoires}
Dans la \textit{Logique} (1862)"
436,324,310,引文边界待核：从 Voilà bien 起的“aujourd’hui par connotation”及后续现代术语串列，疑为后世评论误并入古典引文。暂保留底本整段框引，不将其全部确认为十七世纪原文。,"cts, seconds, périphériques, implicites, additionnels, subjectifs, flous, aléatoires, non distinctifs, que peuvent engendrer les éléments du discours."
437,324,310,原文 1860 应为 1660，与第三章所列《普遍唯理语法》初版年相互印证。,"-Royal se servaient déjà de la connotation pour distinguer le fonctionnement de l’adjectif de celui du substantif : dans la \textit{Grammaire} (1860),"
