editorial_note,source_pdf_page,printed_page,note_latex
204,164,150,原文如此；修饰复数 catégories 的形容词应为 phanéroscopiques。正文相应小节标题已用复数。
205,164,150,原文如此；应为 Le sinsigne，正文相应标题也使用 Le。
206,167,153,原文 fonds baptismaux 如此；固定搭配应为 fonts baptismaux（洗礼盆），此处借指一门学科的创立。
207,167,153,原文 « il n’y en pas »、« renvient » 如此；分别应为 « il n’y en a pas »、« renvoient »。
208,167,153,IASS–AIS 官方历届大会名录将 1974 年 Milano 大会列为第一届；因此不能称为 1969 年的首届大会。见\ecite{35}。
209,168,154,"此概括不宜直接当作 Peirce 的真理论。Peirce 的实用主义准则借可设想的实践效果澄清概念；真理则与无限探究所趋向的共同意见及独立于个体意见的实在相联，不等于“有用所以为真”。见 Peirce, « How to Make Our Ideas Clear » (1878)，\ecite{36}。"
210,169,155,原文 « rien n’écrit » 如此；应为 « rien écrit »。关于著述数量，\textit{Recueil des publications scientifiques de Ferdinand de Saussure} (1922) 除早期专著外还收录多篇论文，故“几乎没有再写作或发表”也过强；不能由 CLG 为身后编成推得这一结论。见\ecite{39}。
211,169,155,此处 trois leçons 宜理解为三轮课程，而非三节课。CLG 第一版序言署 Charles Bally、Albert Sechehaye，书名页注明 Albert Riedlinger 协作；编辑者说明主要材料来自听课笔记，Saussure 留下的课程相关笔记非常有限。见\ecite{38}，第一版序言。
212,170,156,原文 « à ses yeux de Saussure » 如此；应删去重复成分，作 « aux yeux de Saussure » 或 « à ses yeux »。
213,171,157,原文 saisi 如此；谓语动词应为 saisit。
214,171,157,需区分两门在 Peirce 体系中相关却不同的学科：phaneroscopy（现象学）研究经验的一般范畴；逻辑／符号学则属规范科学。不能把两者无条件作为同义词。见 Peirce 的 1903 年科学分类，\ecite{37}。
215,172,158,原文 fait des règles 如此；按语意应为 fait de règles（由规则构成）。
216,172,158,此处 Secondéité 与本小节论述及前一句不符，应为 Tiercéité。与 Aristote 术语的对应是作者的解释性类比，不宜当作三套范畴严格同一。
217,173,159,此处“物质符号”把范围说窄了。Peirce 的符号可以是性质、个别事物，也可以是一般规律；representamen 在三元关系中充当第一项，不等于它本身必然只是物质实体或 qualisign。下文的三分表也应据此理解。见\ecite{37}。
218,174,160,原文括号未闭合，宜在 representamen 后补右括号，作 « l’effet du signe (c’est-à-dire du representamen) sur une personne »。此为标点拟校，不据此宣称已核定引文的原始出处。
219,176,162,应区分符号的三项关系与三种分类依据。表中是三组三分：符号自身、符号与对象的关系、符号与解释项的关系；不是把一个符号拆成九个独立“子符号”。1903 年分类在相容限制下给出十类复合符号。见\ecite{37}。
220,177,163,原文 « ou ‘écrit » 如此；应为 « ou l’écrit »。
221,177,163,icone 与 légisigne 属于不同分类维度，并不互斥；一个一般性的图示可以同时是 iconic legisign。不能据“约定使用”便推断其像似关系消失。见\ecite{37}，1903 年十类符号中的第五类。
222,177,163,这里不是对象本身变为 indice，而是符号因与对象有现实联系而被归为 indice。下引 Peirce 的定义也以“Un indice est un signe”开头。见\ecite{37}。
223,178,164,“非意图性”不是 Peirce 的 index 的必要条件；他也将有意指点的手指、指示词等列入指示性符号。这里把 Prieto 式 signal／indice 区分直接移用于 Peirce，宜分别说明其理论框架。见\ecite{37}。
224,178,164,底本在“Charles Peirce explique :”之后未另列可辨识的引文，下一段以“D’ailleurs que”起。疑有脱漏或引文标识缺失；未取得可确证的对勘材料，不补造文字。
225,178,164,原文 « ne pouvons n’en citer que » 如此；两种规范表达分别是 « nous ne pouvons en citer que quelques-uns » 和 « nous n’en citerons que quelques-uns »。
226,178,164,原文 « il convient définir » 如此；应为 « il convient de définir »。
227,180,166,原文 1926-2019 如此；Hilary Putnam 于 2016 年 3 月 13 日去世，生卒年应为 1926-2016。见 Harvard 纪念资料，\ecite{40}。
228,180,166,待核：本句把解释者作为“第四因素”的说明归于一个修订版本，却未列该版年份及页码。本版尚未取得可与此句对应的修订版原文，不据此确认其先后关系。
229,181,167,原文在 Cratyle 后用分号，隔断主语与谓语；应为逗号。
230,183,169,原文 elles 如此；照应单数 la réalité 应为 elle。
231,183,169,原文 tandis d’autres 如此；应为 tandis que d’autres。本段复述对话中的词源说明，不应把它们当作现代历史语言学已确认的词源。
232,183,169,原文 faites 如此；与单数 réalité 一致应为 faite。
233,183,169,原文 voir Saussure s’est 如此；在此句法中应为 voir que Saussure s’est。
234,183,169,此处把所指 signifié 换成了外部现实 réalité。CLG 的任意性原则直接涉及能指与所指的联系，不能不加区别地改说成符号与外部对象的关系。见\ecite{38}，第一部分第 I 章。
235,184,170,Peirce 的 symbole 与 Saussure 在下引文字中的 symbole 不是同一个术语定义：前者以规律或习惯性联系界定，后者特别指出仍有一定自然联系。不能仅凭相同词形把两套定义接成同一分类；亦应与 CLG 的“相对任意性／相对理据性”区分。见\ecite{37}、\ecite{38}。
